instance_id,complexity_percentage,category,solvability_percentage,reasoning
django__django-13033,40,medium,35,"The patch touches a single function in one file with a small diff (5 added lines, 1 modified), so the code change volume is moderate. However, it requires understanding Django's SQL compiler, the logic determining implicit ordering, and subtle differences between a fully qualified lookup path versus a field's attribute name. The main challenge is recognizing that when resolving an order_by clause that ends with ""_id"" on a self-referential FK, the comparison must use the last lookup piece rather than the whole lookup string to avoid appending the related model’s default ordering. This subtlety is non-trivial and demands familiarity with Django internals and query planning, but it doesn’t involve complex algorithms or large-scale refactoring, so overall complexity is around 40%. 

For an AI given only the symptom description, deducing the exact conditional change is difficult: it must trace the ORM path resolution, spot the incorrect equality check, and update it without breaking other cases. No guiding test patch is provided, reducing feedback for iterative search. While possible, the search space is large and bounded by nuanced framework behavior, so estimated solvability is 35%."
django__django-13089,15,easy,85,"The fix touches one file and adds a straightforward None-check before using cursor.fetchone()[0]. No algorithms or architectural elements are modified; it’s a classic defensive-programming patch (3 new lines, 3 removed). Understanding required is limited to knowing that fetchone() can return None when the SELECT yields no rows and that trying to subscript None triggers the reported traceback. There are no cascading effects across the code base. Because the back-trace pinpoints the exact failing line and the solution is a common pattern (guard against None), an AI system supplied with the failing test or stack trace would likely generate the correct conditional deletion statement. Therefore the task is low in complexity, falls in the ""easy"" bucket, and is highly solvable."
django__django-13109,30,medium,70,"The change touches a single line in one file and replaces _default_manager with _base_manager. Code-wise this is very small, but it requires knowledge of Django’s manager hierarchy and how model validation is expected to work in forms. Understanding that _default_manager may include custom filters while _base_manager never does is a piece of framework-specific domain knowledge, but it isn’t algorithmically complex. Because the problem statement clearly describes the undesired behavior and even suggests the exact fix, an automated system equipped with failing tests would have a good chance of applying this change. Therefore complexity is low-to-moderate (30%), the task is categorized as ""medium"" (needs framework understanding, not just syntax), and solvability is fairly high (70%) given explicit guidance and the minimal code delta."
django__django-13112,35,medium,60,"The patch touches a single method in one core Django file, changing ~5 lines. The logic change is conceptually simple—only lowercase the model part of an 'app_label.ModelName' string instead of the whole string—but understanding where to do this requires familiarity with Django’s migration serialization process and how app labels work. No new algorithms or multi-file coordination are needed, so overall complexity is moderate. An AI that can reproduce the error from the description and search the relevant code paths could plausibly derive the fix, but it still needs framework-specific insight (why lowercasing the entire dotted path is wrong), so solvability is neither trivial nor extremely hard."
django__django-13121,65,hard,35,"The patch touches 4 core modules across 3 back-ends and Django’s expression engine, removing an abstract date_interval_sql layer and re-architecting how timedelta literals are represented in expression trees. The fix requires deep knowledge of Django’s ORM internals (expression resolution, compiler, backend feature flags) and SQL capabilities of different databases. It isn’t an isolated bug: the solution demands understanding that mixing DurationField and non-native duration back-ends must route through Value(...) instead of a custom DurationValue plus backend-specific interval SQL. This multi-file, cross-layer adjustment elevates complexity to ~65% and fits the “hard” category. Given only the symptom (InvalidOperation during annotation) and no guiding tests, an AI would struggle to infer the need to delete DurationValue, adjust _combine(), tweak DurationExpression.compile(), and remove backend date_interval_sql, so the likelihood of generating the exact patch is low (~35%)."
django__django-13128,60,hard,30,"Although the final patch touches only a single file and introduces fewer than 50 net lines of code, it changes the point in Django’s expression-generation pipeline where type coercion is performed (moving logic from as_sql to resolve_expression and adapting DurationExpression). Correctly doing this requires: 1) intimate knowledge of Django’s ORM internals (CombinedExpression, DurationExpression, TemporalSubtraction, connection feature flags, the two-phase compilation of resolve_expression → as_sql); 2) understanding why the original FieldError is raised during type resolution, not SQL compilation; and 3) ensuring compatibility with back-ends that do or do not have native duration support. These subtle framework details make the task conceptually complex even though the diff is small. An AI that only sees the high-level symptom (“mixed types error”) would have to trace deep call stacks to identify the right insertion point, predict all edge cases (duration vs temporal, feature flags), and avoid regressions, which is unlikely without extensive domain knowledge and runtime experimentation. Consequently the change ranks as hard (≈60 % complexity) and the probability an automated system could synthesize the exact fix from the brief problem statement is low (≈30 %)."
django__django-13158,45,hard,38,"The patch changes just a few lines in a single file, but those lines sit deep in Django’s ORM query-building machinery. Understanding why Query.set_empty() must also mark each sub-query produced by union(), and why Query.clone() must deep-clone combined_queries, requires knowledge of how the ORM composes SQL, how WHERE clauses are stored, and how cloning prevents shared mutable state. The algorithmic work is simple, yet identifying the exact omissions and their side-effects is non-trivial and touches core framework behavior. For an automated system, the failing scenario (none() returning all rows after a union) is quite specific and not easily inferred from the public API alone; it demands reading internal code paths and deducing state interactions. Therefore the change size is moderate, but the conceptual difficulty is high, leading to a ‘hard’ classification with a complexity score of 45%. Because the bug is subtle and the fix relies on architectural insight rather than pattern matching, an AI without strong internal-code understanding has a limited (≈38%) chance of arriving at the precise solution solely from failing tests and the high-level description."
django__django-13195,40,medium,78,"The fix touches three files and adds ~20 lines, but it does not introduce new algorithms or deep refactoring. The main task is to thread a new parameter (`samesite`) through `HttpResponse.delete_cookie()` and update callers so the attribute is preserved, plus slightly adjust the `secure` flag logic. This requires understanding HTTP cookie rules (SameSite=None must be Secure) and Django’s helper methods, but the change is localized and straightforward once those rules are known. Because the problem statement explicitly states the missing behavior and even sketches out an almost-correct code snippet, an automated system with code-search and pattern-matching abilities has a good chance of synthesizing the final patch. The lack of accompanying tests lowers certainty somewhat, but overall the scope is clear and isolated."
django__django-13212,35,medium,70,"The patch touches a fair number of locations (≈70 call-sites across two core modules) but the actual logic change is uniform and straightforward: whenever a ValidationError is raised inside built-in validators, it must now include params={'value': value}. No new algorithms, data structures, or architectural changes are introduced—just a repetitive parameter addition and a few related param dictionary updates. Understanding where to add the param requires familiarity with Django’s validation flow and the ValidationError API, but once that concept is grasped the fix is essentially mechanical search-and-replace.

Complexity is therefore moderate (35%). Multiple files and contextual knowledge of Django are involved, yet the individual edits are simple.

An AI system with the failing tests would likely see AssertionErrors complaining about the absence of %(value)s substitution and deduce that every ValidationError in validators must supply the value. The change pattern is consistent, so programmatic reasoning or regex replacement is feasible, giving a relatively high solvability score (~70%). The main challenges are locating every relevant raise statement and ensuring no behavioural side effects, but this doesn’t demand deep architectural insight or novel algorithms."
django__django-13279,20,easy,85,"Only one file is modified and fewer than 15 lines are added. The change is a simple conditional branch that invokes an existing legacy implementation when a specific setting value ('sha1') is detected, plus extraction of that legacy logic into a helper. No new algorithm or cross-module refactor is required. Although some familiarity with Django’s session format helps, the problem statement explicitly guides the fix (""use the legacy encode() when DEFAULT_HASHING_ALGORITHM == 'sha1'"") making the required patch quite straightforward. Therefore the task is low in complexity and highly solvable by an automated system that can follow pattern-matching and small logic insertion instructions."
django__django-13297,35,medium,55,"The change touches a single Django core file and replaces the use of SimpleLazyObject with django.utils.functional.lazy so the lazily-evaluated object keeps the original value’s type. Only a few lines are modified, and no new algorithm is introduced, so the raw code change is small. However, knowing that SimpleLazyObject changes the object’s type and that lazy(…, type(value)) is the correct alternative requires moderate knowledge of Django’s lazy utilities and the framework’s deprecation mechanisms. An AI needs to (1) reproduce the bug, (2) understand why database lookups fail with SimpleLazyObject, and (3) identify the correct framework helper to preserve type while still deferring evaluation, which is less obvious than a simple typo fix. The problem statement is clear about the failure mode but does not explicitly mention django.utils.functional.lazy, so some reasoning and Django-specific insight are necessary. Consequently, while achievable, the task is not trivial, leading to medium complexity and a moderate (≈55%) likelihood that an automated system could infer the correct fix."
django__django-13315,40,medium,65,"The fix touches only one function in a single file and adds roughly ten lines, so the code-change volume is small. However, it requires an accurate understanding of how Django’s limit_choices_to, Q objects, query joins, and the ORM’s Exists/OuterRef constructs interact. The core challenge is recognizing that the duplicate rows stem from the JOIN introduced by a complex Q filter and that switching to an Exists subquery (or any deduplication strategy) eliminates the duplicates without altering the semantics of the filter. This demands moderate domain knowledge of the Django ORM but no large-scale architectural work or complex algorithms. 

From an automated-generation perspective, the bug is well-described (“duplicate options when limit_choices_to is a Q object involving a join”), and a straightforward remedy such as appending .distinct() or wrapping the filter in an Exists clause would satisfy likely tests. An AI system with understanding of Django patterns could plausibly arrive at such a solution, though selecting the specific Exists/OuterRef idiom is less obvious. Therefore, the task is moderately complex but still reasonably solvable with a 65 % likelihood."
django__django-13343,25,medium,70,"The change affects a single Django core file with only a handful of lines added/modified. The logic is straightforward: remember the original callable before invoking it and later use this reference during deconstruction. No algorithms or cross-module refactoring are involved, keeping the technical complexity low. However, a developer must understand Django’s field deconstruction process and why migrations should serialize the callable rather than its evaluated result, which places the task slightly above a trivial fix. An AI given the clear problem statement could plausibly infer the need to store the callable and reference it later, so the likelihood of automatic generation is fairly high, though not guaranteed without explicit tests to guide it."
django__django-13344,40,medium,45,"The fix touches four middleware modules and several subclasses, but the actual change is conceptually simple: ensure each subclass calls the MiddlewareMixin constructor (super().__init__(get_response)). This requires recognizing that omitting the parent constructor prevents the mixin from wrapping async views properly, causing the first middleware to see an unresolved coroutine. While only ~30 lines change, understanding the root cause demands knowledge of Django’s async middleware flow and how MiddlewareMixin adapts the callable. An AI must inspect the class hierarchy, notice the missing super call, and replicate the remaining attribute initialization correctly, which is harder than a pure string replacement yet not architecturally heavy. Therefore complexity is moderate. The solvability is also moderate: the bug is clearly described, but pinpointing every affected middleware class without running the full framework could be challenging, giving roughly a 45% chance an automated system fixes it from the description alone."
django__django-13346,45,hard,55,"The change touches only one file and adds roughly 25 lines, but it lives inside Django’s ORM compilation layer and must deal with differences between SQLite, MySQL (including MariaDB), and Oracle. Implementing a new Lookup class (KeyTransformIn) requires understanding of how JSONField key transforms are rendered to SQL, how RHS parameters are substituted, and the quirks of each backend’s JSON functions. This is non-trivial domain knowledge and goes beyond simple pattern matching, hence the “hard” classification and a mid-range complexity score.

From an AI perspective, the failing tests would signal that the __in lookup is not registered for KeyTransform. Detecting that a missing lookup registration is the root cause is feasible, but crafting the exact backend-specific SQL (JSON_EXTRACT, JSON_UNQUOTE, JSON_QUERY/JSON_VALUE) is harder and requires consulting existing patterns in the codebase. Because similar logic already exists for Exact/Numeric lookups, an AI with sufficient code-base context could copy and adapt that pattern, so the solvability is above 50% but still far from certain."
django__django-13363,20,easy,85,"The change affects a single file and only replaces two occurrences of a hard-coded timezone resolution with a call to an existing helper method (self.get_tzname()). No new logic, data structures, or cross-module interactions are introduced. The required insight is simply to realize that TruncBase already supplies get_tzname(), making the fix a straightforward substitution. Because the problem statement explicitly points out the incorrect line and references the correct helper function, an automated system or developer can map the specification to the patch with minimal codebase knowledge. Therefore, complexity is low and the solution is highly discoverable, yielding a high solvability score."
django__django-13401,35,medium,80,"Only a single file is touched and roughly 20 lines are altered, so the code-base impact is limited. However, the change affects fundamental behaviour of Django Field comparison, requiring understanding of how abstract models share Field instances, how creation_counter is used for ordering, and how equality/hash/ordering interact to avoid regressions. The algorithmic logic to preserve backward-compatible ordering while disambiguating by model is slightly subtle but not intricate. The problem statement explicitly outlines what to do: modify __eq__, __hash__, and __lt__, and even hints at the ordering strategy. Because the requirements are clear and the surface area small, an AI system has a strong chance of producing the correct patch, though it still needs ORM/domain awareness and careful handling of hasattr(model). Hence complexity is moderate, and solvability is high though not trivial."
django__django-13406,35,medium,65,"The change touches only one file and adds two straightforward lines, so the code delta itself is small. However, understanding why those lines are necessary requires moderate familiarity with Django’s internal queryset mechanics—specifically how _iterable_class is decided and how values()/values_list() switch it to ValuesIterable. The bug manifests only after pickling/unpickling and re-assigning the query, which resets _iterable_class to the default ModelIterable, so the fix re-applies the correct iterable when values_select is present.

An engineer (or an AI) must trace the flow of pickling, recognize that the iterable class isn’t restored, and know that ValuesIterable is the correct choice. This is domain-specific knowledge but not algorithmically hard. Therefore, complexity sits in the lower-middle range.

Because the problem statement is clear, reproducible, and the fix is localized, an automated system stands a fair chance of synthesizing the patch once it inspects the relevant code path, yet it still requires understanding of Django internals, so solvability is moderate-to-high but not trivial."
django__django-13410,15,easy,92,"The patch affects a single file and only a handful of lines. It replaces a naïve equality check on the return value of fcntl.flock with a try/except pattern that correctly interprets success (no exception) versus failure (BlockingIOError). No new algorithms or architectural changes are introduced. The domain knowledge required—understanding how fcntl.flock behaves—is minor and explicitly stated in the problem description. Because the issue and its correct solution are clearly spelled out, an automated system or developer could reliably generate the fix. The absence of accompanying tests slightly reduces certainty but does not materially complicate the task, as the functional change is straightforward and isolated."
django__django-13417,30,medium,70,"The fix is limited to a single method in one file, adding a straightforward guard clause (not self.query.group_by) to an existing conditional. While the code change itself is small, it requires knowledge of how Django builds SQL queries, the interaction between Meta.ordering, default_ordering, GROUP BY, and the QuerySet.ordered property. An AI system must locate the relevant property, understand the semantics described in the problem statement, and recognize that GROUP BY removes implicit ordering. This demands moderate framework familiarity but no complex algorithms. Therefore the change is of moderate complexity (≈30%) and falls into the “medium” category. Given the clear problem description, the solution space is narrow (essentially adding a single condition), so an AI has a relatively high chance (~70%) of producing the correct patch."
django__django-13449,40,medium,45,"The change touches only one file and adds ~20 lines, so the surface area is small. However, it requires understanding Django’s SQL compilation process, the purpose of SQLiteNumericMixin, the behavior of window functions, and how DecimalField casting is handled for SQLite. The key challenge is realizing that the automatic numeric cast applied to DecimalField must wrap the entire window expression and that this can be achieved by temporarily switching the internal expression’s output field to FloatField and re-using the existing mixin logic. While the bug description clearly pinpoints the faulty SQL and hints at the needed cast placement, crafting the correct fix still needs non-trivial framework insight, so the task is moderate in complexity. An AI could plausibly infer the fix from the error message and existing mixin patterns, but without intimate knowledge of Django’s compiler internals it would be difficult, leading to a moderate (≈45%) likelihood of automated solution."
django__django-13512,20,easy,85,"The fix touches only two files with an import addition and replacing two calls to json.dumps by adding the flag ensure_ascii=False. No algorithms are modified; it's a straightforward parameter change that prevents Unicode escaping. Understanding the issue requires minimal Django knowledge and basic familiarity with json.dumps behavior. Because the problem statement clearly describes the undesired ASCII escaping and even hints at the solution, an AI system could infer the necessary change with high confidence. Overall, the change is small and isolated, leading to low complexity and high solvability."
django__django-13513,40,medium,80,"Only one file is touched and fewer than 50 lines are modified, keeping structural impact moderate. The core change is adding support for the __suppress_context__ flag when walking an exception chain, something that requires knowledge of Python’s PEP 415 but no complex algorithms. The refactor (new helper method and generator) is straightforward and does not alter overall flow dramatically. An AI supplied with the problem statement is strongly guided toward the right fix—the statement even shows the corrected logic explicitly—so the task is highly solvable. The main challenge is navigating existing Django debug-view internals and ensuring the new helper is called everywhere, which pushes the task above “easy” but still within “medium” difficulty."
django__django-13516,12,easy,88,"The fix touches a single file and adds only four straightforward lines: a flush() proxy method that delegates to the wrapped stream if it supports flush. No algorithms or multi-module interactions are involved; one merely mirrors existing patterns already used for isatty(). The problem description clearly states that flush() is missing and what the expected behavior is, so an implementer (human or AI) can directly infer the need for this passthrough method. Required domain knowledge is minimal Python I/O understanding and a cursory familiarity with Django’s management command wrapper. Because the scope is tiny, the change is obvious, and there are no complicated edge cases, an AI system has a high likelihood of producing the correct patch given the statement, yielding a high but not perfect solvability score (tests or style nuances might still trip it)."
django__django-13551,30,medium,85,"The fix touches a single file with only a few lines added, keeping overall code changes small. However, it requires understanding how Django’s PasswordResetTokenGenerator works, why including mutable user attributes (password, last_login) in the hash invalidates old tokens, and why the email field must also be added to cover the described edge-case. That domain-specific security knowledge places the task above the most trivial category, but the implementation itself is a straightforward string concatenation once the requirement is known. The problem statement is clear, the scope is narrow, and no additional tests or multi-module interactions are needed, so an AI with knowledge of Django could reliably generate the correct patch. Hence, moderate complexity, medium difficulty, and a high likelihood of successful automated generation."
django__django-13568,35,medium,55,"The change touches a single file with only a few lines added, so the code-change size is small. However, it requires understanding how Django’s model meta API exposes uniqueness (the .unique field attribute vs total_unique_constraints) and how the auth system check is triggered. An implementer must know that UniqueConstraint entries appear in Model._meta.total_unique_constraints and that a single-field UniqueConstraint should satisfy auth.E003. This is moderately complex framework knowledge but the algorithm itself is simple (a boolean check with any()). Given a clear problem statement that explicitly describes the needed behavior, an automated agent with Django familiarity could plausibly generate this fix, though it needs the specific Meta API detail. Lack of tests in the prompt lowers certainty but the solution space is narrow and well defined. Hence medium complexity, moderate solvability."
django__django-13569,40,medium,70,"Although the final patch is only three new lines in a single file, producing that fix requires understanding Django’s query compilation pipeline, specifically how expressions contribute to GROUP BY generation. You must recognize that ORDER BY(Random) introduces an Expression object whose default implementation returns itself for grouping, and that overriding get_group_by_cols() to return an empty list prevents RANDOM() from leaking into GROUP BY. This demands moderate knowledge of Django ORM internals but involves no intricate algorithm or multi-module refactor. Therefore the change complexity is moderate (≈40%). Given the clear problem description, clear reproduction steps, and the localized nature of the fix, an automated system with insight into Django’s expression methods could plausibly derive the solution, so solvability is fairly high (≈70%), but not trivial because the correct override method and its semantics must be known."
django__django-13590,35,medium,75,"Only a single function in one file is touched and the logic adjustment is limited to recognizing when the original iterable is a namedtuple and unpacking the generator into positional arguments. The fix involves about five new lines, no new abstractions, and no side-effects outside this small code path. Nevertheless, the developer must understand Python’s namedtuple construction semantics and how Django’s query value resolution reconstructs iterables, which lifts it slightly above a trivial change. The problem statement pinpoints the failing call site and the exact cause (iterator passed to namedtuple constructor), making the corrective action largely mechanical once that fact is known. Given this clarity and the contained scope, an automated system with knowledge of Python data-model details could likely synthesize the patch, yielding a fairly high solvability score, while the need for framework insight and Python nuance keeps the complexity and category from being ‘easy’. "
django__django-13658,15,easy,90,"The change touches a single file and only modifies the instantiation of CommandParser by passing an existing variable (self.prog_name) as the prog argument. There is no algorithmic work, no interaction with other components, and no side-effects beyond correcting the help/usage string. Understanding the fix only requires recognizing that %(prog)s expands to the provided prog value and that ManagementUtility already calculated the correct program name. This is a straightforward parameter wiring issue, typical of a simple bug fix, so complexity is low (≈15%). Given the explicit problem statement that literally shows the desired code snippet, an automated system could reliably apply the patch; thus solvability is very high (≈90%). Minimal domain knowledge of argparse/Django is needed, so the task falls in the ""easy"" category."
django__django-13670,10,easy,90,"The bug is isolated to a single method in one file. The issue is well-described: `str(self.data.year)[2:]` fails for years with fewer than four digits. The required fix is to always return the last two digits of the year padded with leading zeros. Implementing this only needs a basic string-formatting change (`'%02d' % (year % 100)`). There are no side effects, algorithmic challenges, or cross-module dependencies. An AI system can infer the solution directly from the problem statement without deep knowledge of Django internals, so the task is highly solvable. The minimal code modification and straightforward logic place the complexity in the lowest quartile."
django__django-13741,20,easy,70,"The change touches a single file with about a dozen lines modified. It leverages an existing Django forms feature (the `disabled` parameter) and removes now-redundant code (`bound_data`, `has_changed`, and `clean_password`). No new algorithms or cross-module interactions are introduced; it is essentially a configuration tweak plus cleanup. An engineer (or AI) familiar with Django form mechanics can infer that setting `disabled=True` automatically prevents changes and makes the custom cleaning logic unnecessary. Because the requirement is explicit and narrowly scoped, and because the patch is straightforward, the problem falls in the low-complexity, high-solvability range. The main domain knowledge needed is understanding how disabled fields behave in Django, which is common framework knowledge, not deep architectural insight."
django__django-13786,30,medium,65,"The change affects a single method in one file and adds only a handful of lines, so the raw code complexity is low. However, to recognize the bug and craft the fix an engineer (or AI) must understand how Django’s migration-squashing logic is supposed to mirror the semantics of AlterModelOptions, including the special ALTER_OPTION_KEYS rule that treats omitted keys as deletions. That requires moderate framework-specific knowledge, pushing the task beyond a trivial pattern substitution but not into algorithmic complexity. The fix itself is straightforward dictionary manipulation once the rule is understood. Given the clear problem description that pinpoints the offending line and describes the expected behavior, an automated system has a fair chance of producing the correct solution, though it must know to reference ALTER_OPTION_KEYS and replicate the pop logic. Therefore the task is categorized as medium difficulty with roughly two-thirds likelihood of successful automated generation."
django__django-13794,15,easy,85,"The fix consists of adding two straightforward dunder methods (__add__ and __radd__) to Django’s Promise class so that lazy translation objects can be concatenated with regular strings. Only one file is touched and fewer than 10 lines are added; no algorithmic changes or multi-module interactions are involved. The required Python knowledge (operator overloading and lazy object casting) is elementary for a Django contributor. The problem statement clearly explains the symptom and its cause, making it easy to infer the solution. Consequently, an AI system with basic familiarity with Python data-model methods could reliably propose this patch."
django__django-13807,30,medium,80,"The patch touches a single file and only a handful of lines. No new algorithms or data structures are introduced; the fix simply ensures that dynamically-inserted table and column names are quoted through the already-available backend helper (self.ops.quote_name). Technically the change is straightforward, but it does require awareness of SQL-identifier quoting rules and familiarity with Django’s database-backend utilities, so it is slightly beyond a trivial typo fix. 

The main challenge for an automated system is to notice that every occurrence of an unquoted identifier inside the affected method must be wrapped with quote_name to avoid syntax errors with reserved words. Because the problem statement explicitly highlights the failing SQL, pinpoints the offending lines, and even notes ""due to missing back ticks around %s"", an AI has clear guidance on what needs to be patched. No broader architectural concerns or cross-file impacts are involved, and existing helper functions do the heavy lifting. This clarity makes the task highly solvable, though not completely trivial, leading to an estimated 80% success probability."
django__django-13809,15,easy,90,"The patch touches a single file and adds only a handful of straightforward lines: (1) registering a new command-line flag and (2) guarding an existing function call with an if-statement. No new algorithms, data structures, or interactions with other Django subsystems are introduced. Understanding Django’s management-command argument handling is helpful but rudimentary. Because the requirement is precisely stated (“Add --skip-checks to runserver”) and the change is largely boilerplate, an AI system can map the spec to the necessary argparse addition and the conditional almost mechanically. There is minimal risk of side effects or edge-case handling, and alternative correct solutions are limited, so generating the right patch is highly likely."
django__django-13810,40,medium,80,"The change touches a single file and only adds a handful of lines, so surface-level complexity is low. However, the defect involves subtle control-flow and state interaction: `handler` was being mutated before it was certain the middleware would be kept, which poisoned the remaining middleware chain in an ASGI context. Fixing this requires understanding Django’s middleware loading loop, the `MiddlewareNotUsed` signalling mechanism, and how synchronous/async adaptation works. That domain knowledge bumps the complexity above a trivial typo fix but still keeps it below large-scale architectural work. 

The patch itself is straightforward once the issue is understood—introduce an `adapted_handler` temporary and only commit it to `handler` when the middleware instance is successfully created. Because the problem statement explicitly describes the bug, pinpoints the relevant code section, and explains the undesired side effect, an automated system or developer has clear guidance. Therefore, the likelihood of an AI producing the correct fix is relatively high, though it still needs to reason about exception flow and variable scope."
django__django-13820,30,medium,70,"Only one file is modified with a net change of a few lines. The fix consists of refining a conditional to distinguish between regular packages without __file__ (possible in frozen environments) and true PEP-420 namespace packages. Algorithmically this is trivial—just add an isinstance() check—so the code complexity is low. However, forming the correct predicate requires understanding Python’s import mechanics, PEP-420, and how Django’s migration loader interprets packages, which elevates the task above a pure pattern-matching exercise. An AI equipped with the problem statement (which explicitly describes the required change) can generate the patch with high likelihood, because the scope is well-defined and the logic is straightforward. Lack of accompanying tests reduces guidance slightly, but overall the solution space is small and clearly directed by the description."
django__django-13821,10,easy,92,"The change consists of updating a version threshold constant in a single function to raise an error for unsupported SQLite versions. No algorithms or multi-file interactions are involved, and the intent is explicitly stated in the problem description (""Drop support for SQLite < 3.9.0""). Implementing the fix only requires editing two numeric literals and adjusting the accompanying error message. This is simple pattern substitution with minimal domain knowledge; an automated system can reliably detect and apply the change. Therefore, complexity is very low and solvability is very high."
django__django-13837,30,medium,70,"The patch modifies a single function in one file with only a handful of lines changed, so the code delta is small. However, it requires awareness of how Python sets __main__.__spec__ when the interpreter is invoked with the –m switch and how that information can be used to reconstruct the original command-line. That import-system knowledge is somewhat specialized but still well documented and widely known among experienced Python developers. No significant algorithmic work or cross-module refactoring is involved, but the developer must avoid regressions for other execution modes and deal with edge cases such as directory/zip execution (empty parent). Thus the task is more than a trivial edit but far from architecturally complex.

For an AI, the specification gives a very clear description of the desired behavior, explains exactly why the old heuristic is wrong, and points to the Python documentation that should be used. With that guidance, producing the correct conditional based on __main__.__spec__.parent is straightforward, so solvability is reasonably high though not guaranteed (the AI must recall/consult the import spec rules and generate the right truthiness check)."
django__django-13925,30,medium,70,"The fix alters a single function in one file with only a few lines of additional guard logic. No new algorithms or cross-module refactors are introduced, keeping raw code complexity low. However, correctly identifying the condition to skip the warning demands a solid understanding of Django’s model-inheritance internals, specifically that an inherited primary key is represented by an auto-created OneToOneField whose remote_field.parent_link flag is True. Recognizing this subtle distinction between an ordinary auto-created PK and an inherited one is non-trivial, but the required change is still a straightforward boolean clause once the insight is gained. Given the detailed bug report (which explicitly states that the PK is inherited) and Django’s transparent codebase, an AI with code-search abilities could locate the check emitting models.W042 and add the necessary exclusion, so the task is reasonably solvable. Limited scope, clear failure mode, and easy validation drive solvability up; the need for framework-specific insight prevents it from being categorized as “easy.”"
django__django-13933,15,easy,90,"Only a single method in one file is modified and the change is to supply the invalid value through the params argument when raising ValidationError. No new algorithm, no cross-module impact, and Django’s ValidationError API is well-documented, so understanding the fix is straightforward. An AI only needs to notice that other fields in the codebase already pass params={'value': ...} and replicate that pattern here. Because the requirement is explicit in the problem statement and the code context is small, the task is highly solvable with simple pattern matching. Minimal domain knowledge of Django forms is helpful but not deep; complexity remains low."
django__django-13964,30,medium,70,"The patch touches only one file and changes a single conditional, so the raw code modification is small. However, understanding why the condition must use `field.empty_values` instead of simply checking for `None` requires knowledge of Django’s ORM internals—specifically how unsaved values for non-auto primary keys are represented ("""" instead of None) and how `_prepare_related_fields_for_save()` determines when to copy the related object’s primary key onto the parent. That pushes the change above a trivial typo fix but keeps it well below a full architectural alteration, resulting in a moderate 30 % complexity and a “medium” category.

For an AI, the bug description is clear, includes minimal reproducible code, and pinpoints the faulty behaviour: the FK column remains an empty string. Once the AI inspects the surrounding code it can deduce that the comparison to `None` is too narrow and that Django already defines `field.empty_values` for this purpose. Because the fix is localized and conceptually straightforward once the ORM convention is understood, I rate solvability at 70 %. Challenges include locating the exact saving path and knowing about `empty_values`, which demands some framework familiarity but not deep algorithmic work."
django__django-14007,40,medium,60,"The patch touches a single Django core file and adds roughly 15 lines, so the raw code delta is small. However, understanding where to place the fix requires familiarity with Django’s SQLCompiler, how returning_fields are handled on INSERT, and how get_converters/apply_converters are normally invoked for SELECT queries. The algorithmic work is straightforward (gather columns, fetch converters, apply them), but identifying the omission and integrating the existing conversion utilities in the correct execution branch takes moderate framework knowledge and careful reasoning about multiple backend capabilities (bulk-insert, returning columns, last_insert_id). Because the required logic already exists elsewhere in the codebase, an AI could locate and reuse it, giving a better than even chance of success if regression tests highlight the type mismatch. Still, the need to trace execution flow through several abstraction layers and ensure the fix works for all conditional branches makes it non-trivial. Hence, the change is of medium complexity and moderately solvable by automated systems."
django__django-14011,45,medium,40,"The fix touches two files with roughly two dozen new lines, introducing connection-handling logic inside Django’s ThreadedWSGIServer. While the code delta is small, the developer must understand Django’s request lifecycle, the interaction between ThreadingMixIn and database connection management, and the shutdown sequence of LiveServerTestCase. The solution requires knowing that each worker thread needs its own connection copy and that close_request() is the correct hook to close them. This is beyond a simple pattern replacement but doesn’t involve complex algorithms or large refactoring, yielding a moderate (45%) complexity. 

For an AI, identifying the intermittent SQLite ‘database is being accessed’ error as a connection-closing problem, selecting the appropriate override points, and ensuring compatibility with Django’s internal connection handler is challenging because the symptoms manifest only under race conditions. Without explicit tests describing the failure, several plausible fixes exist, so generating the exact patch is difficult. Therefore, the solvability is estimated at 40%, reflecting a non-trivial but not impossible task with sufficient framework knowledge."
django__django-14017,20,medium,60,"Only one file and a single conditional check are modified, so code-level complexity is low. However, choosing the correct condition requires knowing that Django conditional expressions (Exists, Subquery, etc.) expose a `conditional` attribute and that Q._combine should treat them like Q objects. An AI must link the TypeError to the isinstance guard and realize the proper generic criterion, not simply add a __rand__ or special-case Exists. That demands moderate understanding of Django ORM internals but the change itself is mechanically simple. Consequently, the task sits at the boundary of easy and medium: trivial code but non-obvious insight. Given a clear bug report and typical training on Django source, an AI has a fair (≈60%) chance to generate the correct fix."
